race,lap,i_num,i_rank,m_num,m_rank,ave_rank,norm_ave_rank,goal_rank,point,Skater ID
16,3,6,5,6,5,5,0.217391304,4,0,67
16,3,7,19,7,19,19,0.826086957,17,0,68
16,3,8,18,8,18,18,0.782608696,13,0,51
16,3,9,3,9,3,3,0.130434783,7,0,48
16,3,10,10,10,10,10,0.434782609,6,0,35
16,3,11,15,11,15,15,0.652173913,19,0,28
16,3,12,8,12,8,8,0.347826087,9,0,32
16,3,13,13,13,13,13,0.565217391,10,0,52
16,3,14,12,14,12,12,0.52173913,15,0,39
16,3,15,2,15,2,2,0.086956522,12,0,50
16,3,16,14,16,14,14,0.608695652,14,0,59
16,3,17,16,17,16,16,0.695652174,20,0,70
16,3,18,23,18,23,23,1,23,0,65
16,3,19,17,19,17,17,0.739130435,18,0,29
16,3,20,22,20,22,22,0.956521739,22,0,31
16,3,21,20,21,20,20,0.869565217,16,0,53
16,3,22,11,22,11,11,0.47826087,8,0,24
16,3,23,1,23,1,1,0.043478261,11,0,69
16,2,1,7,1,7,7,0.304347826,2,40,25
16,2,2,4,2,4,4,0.173913043,3,20,26
16,2,3,8,3,8,8,0.347826087,1,60,47
16,2,4,6,4,6,6,0.260869565,5,0,58
16,2,5,21,5,21,21,0.913043478,21,0,34
16,2,6,5,6,5,5,0.217391304,4,0,67
16,2,7,18,7,18,18,0.782608696,17,0,68
16,2,8,15,8,15,15,0.652173913,13,0,51
16,2,9,2,9,2,2,0.086956522,7,0,48
16,2,10,9,10,9,9,0.391304348,6,0,35
16,2,11,20,11,20,20,0.869565217,19,0,28
16,2,12,11,12,11,11,0.47826087,9,0,32
16,2,13,12,13,12,12,0.52173913,10,0,52
16,2,14,13,14,13,13,0.565217391,15,0,39
16,2,15,3,15,3,3,0.130434783,12,0,50
16,2,16,14,16,14,14,0.608695652,14,0,59
16,2,17,17,17,17,17,0.739130435,20,0,70
16,2,18,23,18,23,23,1,23,0,65
16,2,19,16,19,16,16,0.695652174,18,0,29
16,2,20,22,20,22,22,0.956521739,22,0,31
16,2,21,19,21,19,19,0.826086957,16,0,53
16,2,22,10,22,10,10,0.434782609,8,0,24
16,2,23,1,23,1,1,0.043478261,11,0,69
16,1,1,5,1,5,5,0.217391304,2,40,25
16,1,2,3,2,3,3,0.130434783,3,20,26
16,1,3,6,3,6,6,0.260869565,1,60,47
16,1,4,1,4,1,1,0.043478261,5,0,58
16,1,5,21,5,21,21,0.913043478,21,0,34
16,1,6,4,6,4,4,0.173913043,4,0,67
16,1,7,18,7,18,18,0.782608696,17,0,68
16,1,8,14,8,14,14,0.608695652,13,0,51
16,1,9,2,9,2,2,0.086956522,7,0,48
16,1,10,7,10,7,7,0.304347826,6,0,35
16,1,11,20,11,20,20,0.869565217,19,0,28
16,1,12,11,12,11,11,0.47826087,9,0,32
16,1,13,12,13,12,12,0.52173913,10,0,52
16,1,14,13,14,13,13,0.565217391,15,0,39
16,1,15,9,15,9,9,0.391304348,12,0,50
16,1,16,15,16,15,15,0.652173913,14,0,59
16,1,17,17,17,17,17,0.739130435,20,0,70
16,1,18,23,18,23,23,1,23,0,65
16,1,19,16,19,16,16,0.695652174,18,0,29
16,1,20,22,20,22,22,0.956521739,22,0,31
16,1,21,19,21,19,19,0.826086957,16,0,53
16,1,22,8,22,8,8,0.347826087,8,0,24
16,1,23,10,23,10,10,0.434782609,11,0,69
