race,num,Miyagawa,Ichinose,diff_ab,D,t_bar,D_p_t_bar,Final_rank,NFinal_rank,Goal_rank,NGoal_rank,Point,Skater ID
12,11,37.879,38.359,0.48,0.24,38.119,0.006296073,13,0.590909091,9,0.409090909,0,51
12,12,16.015,18.626,2.611,1.3055,17.3205,0.075373113,7,0.318181818,13,0.590909091,0,39
12,13,40.858,41.744,0.886,0.443,41.301,0.010726133,14,0.636363636,11,0.5,0,59
12,14,60.77,61.009,0.239,0.1195,60.8895,0.001962572,2,0.090909091,2,0.090909091,40,27
12,15,67.045,66.996,0.049,0.0245,67.0205,0.00036556,20,0.909090909,20,0.909090909,0,64
12,16,67.045,66.996,0.049,0.0245,67.0205,0.00036556,21,0.954545455,21,0.954545455,0,65
12,17,67.045,66.996,0.049,0.0245,67.0205,0.00036556,19,0.863636364,19,0.863636364,0,29
12,18,67.045,66.996,0.049,0.0245,67.0205,0.00036556,17,0.772727273,16,0.727272727,0,62
12,19,20.232,19.63,0.602,0.301,19.931,0.015102102,18,0.818181818,18,0.818181818,0,63
12,20,30.27,30.454,0.184,0.092,30.362,0.003030103,16,0.727272727,15,0.681818182,0,61
12,21,1.2,1.2,2.22045E-16,1.11022E-16,1.2,9.25186E-17,12,0.545454545,8,0.363636364,0,54
12,22,32.642,32.279,0.363,0.1815,32.4605,0.005591411,15,0.681818182,12,0.545454545,0,60
14,1,18.873,21.203,2.33,1.165,20.038,0.058139535,1,0.045454545,1,0.045454545,60,25
14,2,12.592,12.376,0.216,0.108,12.484,0.008651073,3,0.136363636,3,0.136363636,20,47
14,3,7.6,7.7,0.1,0.05,7.65,0.006535948,7,0.318181818,4,0.181818182,0,26
14,4,55.964,54.611,1.353,0.6765,55.2875,0.012236039,6,0.272727273,19,0.863636364,0,34
14,5,27.983,29.724,1.741,0.8705,28.8535,0.03016965,5,0.227272727,7,0.318181818,0,58
14,6,15.1,17.6,2.5,1.25,16.35,0.076452599,11,0.5,8,0.363636364,0,32
14,7,18.682,19.4,0.718,0.359,19.041,0.018854052,14,0.636363636,11,0.5,0,53
14,8,12.753,12.732,0.021,0.0105,12.7425,0.000824014,10,0.454545455,12,0.545454545,0,35
14,9,39.272,35.747,3.525,1.7625,37.5095,0.046988096,15,0.681818182,14,0.636363636,0,51
14,10,15.8,13.5,2.3,1.15,14.65,0.078498294,8,0.363636364,10,0.454545455,0,50
14,11,19.351,21.766,2.415,1.2075,20.5585,0.05873483,9,0.409090909,13,0.590909091,0,39
14,12,10.949,12.84,1.891,0.9455,11.8945,0.079490521,13,0.590909091,9,0.409090909,0,59
14,13,62.88,62.841,0.039,0.0195,62.8605,0.000310211,22,1,22,1,0,29
14,14,14.7,15.232,0.532,0.266,14.966,0.01777362,18,0.818181818,17,0.772727273,0,64
14,15,15.8,18.2,2.4,1.2,17,0.070588235,19,0.863636364,18,0.818181818,0,65
14,16,9.2,8.359,0.841,0.4205,8.7795,0.047895666,2,0.090909091,2,0.090909091,40,30
14,17,20.285,23.833,3.548,1.774,22.059,0.08042069,4,0.181818182,6,0.272727273,0,49
14,18,15.7,15.2,0.5,0.25,15.45,0.01618123,16,0.727272727,15,0.681818182,0,66
14,19,16.7,19.757,3.057,1.5285,18.2285,0.083852209,20,0.909090909,20,0.909090909,0,63
14,20,9.819,10.1,0.281,0.1405,9.9595,0.014107134,12,0.545454545,5,0.227272727,0,27
